| Category          | Name                                                                  | Description/Details                                              |
| ----------------- | --------------------------------------------------------------------- | ---------------------------------------------------------------- |
| Government Scheme | PM Jan Arogya Yojana (AB PM-JAY)                                      | Health insurance scheme                                          |
| Government Scheme | Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)                      | Free and subsidised food rations                                 |
| Government Scheme | Pradhan Mantri Awas Yojana (Urban and Gramin)                         | Housing for urban and rural poor                                 |
| Government Scheme | Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)                          | Income support to farmers                                        |
| Government Scheme | Pradhan Mantri Matsya Sampada Yojana (PMMSY)                          | Fisheries and aquaculture development                            |
| Government Scheme | Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM) | Solar energy for farmers                                         |
| Government Scheme | Pradhan Mantri Fasal Bima Yojana (PMFBY)                              | Crop insurance scheme                                            |
| Government Scheme | Pradhan Mantri Mudra Yojana                                           | Microfinance scheme                                              |
| Government Scheme | Pradhan Mantri Suraksha Bima Yojana (PMSBY)                           | Accident insurance scheme                                        |
| Government Scheme | Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)                      | Life insurance scheme                                            |
| Government Scheme | Ayushman Bharat Digital Mission (ABDM)                                | Digital health records                                           |
| Government Scheme | Jal Jeevan Mission                                                    | Providing safe drinking water                                    |
| Government Scheme | Swachh Bharat Mission - Grameen                                       | Rural sanitation initiative                                      |
| Government Scheme | DAY-NRLM                                                              | Deen Dayal Antyodaya Yojana - National Rural Livelihoods Mission |
| Government Scheme | Atal Pension Yojana (APY)                                             | Pension scheme for unorganised sector workers                    |
| Government Scheme | National Pension System (NPS)                                         | Retirement savings scheme                                        |
| Government Scheme | PM-ABHIM                                                              | Ayushman Bharat Health Infrastructure Mission                    |
| Government Scheme | Start-up India Seed Fund Scheme (SISFS)                               | Financial assistance to start-ups                                |
| Government Scheme | PM Micro Food Processing Scheme                                       | Financial support for food processing units                      |
| Government Scheme | Adivasi Mahila Sashaktikaran Yojana                                   | Loans for ST women                                               |
| Government Scheme | Swayam Shakti Sahakar Yojna                                           | Working capital loan for women SHGs                              |
| Survey            | Periodic Labour Force Survey (PLFS)                                   | Employment and unemployment trends survey                        |
| Survey            | HCES (Household Consumer Expenditure Survey)                          | Tracks income distribution and social welfare impact             |
| Index             | Composite Index of Agricultural Sustainability                        | Measures sustainability in agriculture                           |
| Index             | Global Economic Policy Uncertainty Index                              | Tracks uncertainty in global economic policies                   |
| Index             | Trade Policy Uncertainty Index                                        | Measures uncertainty related to trade policies                   |
| Index             | Policy Uncertainty Index by RBI                                       | Measures policy uncertainty in India using Google Trends data    |
| Index             | Geopolitical Risk Index                                               | Measures global geopolitical risks                               |
| Index             | Mercer CFA Institute Global Pension Index                             | Measures pension adequacy, sustainability, and integrity         |
